logFC	logCPM	F	PValue	FDR
ITGA2	3.90757747363123	6.28882159094525	81.0356612711084	1.12098857226844e-05	0.00574146325532204
UBASH3B	2.91653199178599	5.38972795789405	79.2828236761558	1.22179863562521e-05	0.00604200490810385
BAALC	2.86085328244125	6.20097460533177	78.3269121130626	1.28148579523464e-05	0.00612592926315331
AFF3	-2.67407688454794	6.483182168329	76.98159795666	1.3717010964009e-05	0.00631613057429595
KANK4	7.11036891945743	4.34736223685014	76.4519018783159	1.40935902919929e-05	0.00631613057429595
DAPK1	-4.84187326639639	7.04113284456156	75.4775184444241	1.48201634581667e-05	0.00644048376222937
DKK2	-4.3036176728628	7.57968374508797	74.4558435672914	1.56322098476671e-05	0.0065935741595704
GRB14	3.96855294215015	3.56422952511723	72.3130549769967	1.75210707930138e-05	0.00717913360693172
SEMA7A	3.98393502384784	8.09337592311718	67.6385695112991	2.27197819688956e-05	0.00903019508712467
MGLL	2.60879466390817	8.38210241792619	66.1010099190444	2.48346303697479e-05	0.00903019508712467
SLC25A27	-4.38334962548172	3.75191690655341	65.8976757015917	2.51321505715294e-05	0.00903019508712467
GABBR2	2.57831561598811	7.50346921280392	65.486036694906	2.57480236496679e-05	0.00903019508712467
FGF10	-4.66025110359211	3.10454427546205	65.3151892212164	2.60090889090333e-05	0.00903019508712467
PLA2G6	-3.33664669763437	3.63527873822168	65.2041553477221	2.61805045706411e-05	0.00903019508712467
FAM129A	-2.47926182270834	6.41564895163975	64.5289512792569	2.72533989970055e-05	0.00903019508712467
FGF9	-4.47930090001002	4.93911365676963	64.4483940377607	2.73849913673314e-05	0.00903019508712467
PLEKHH2	-3.61957925985501	4.24331545847211	63.9416966559488	2.82308853298294e-05	0.00903019508712467
C9orf150	-2.54609868624045	6.95998956180583	63.0792527218122	2.97460160657781e-05	0.00903019508712467
PLSCR4	-2.9179059745476	6.8990049623538	62.8610874836064	3.01450494214807e-05	0.00903019508712467
HSPA8	2.66866034857494	11.4963271177422	62.4497481325364	3.09155034895587e-05	0.00903019508712467
RNF144B	-2.53923462500146	5.30889849647315	62.2632881138858	3.12727329544229e-05	0.00903019508712467
MAP2K6	-4.55622188912538	2.79946461816136	62.0844147406038	3.1620217879898e-05	0.00903019508712467
LRRC59	2.43108299726263	7.19631396435854	61.8550053968647	3.20728657843097e-05	0.00903019508712467
ACCS	-3.50162070883573	3.45012447444236	61.7698291711128	3.22429568996331e-05	0.00903019508712467
RCAN2	-3.16851411340062	4.8209253681954	61.4306203450553	3.29314570907179e-05	0.00903019508712467
SLC6A9	-2.77373752492236	5.07037424292363	61.2177083437492	3.33728707633783e-05	0.00903019508712467
RELT	4.24284632231302	3.23579614889192	59.7312686335715	3.66665386766796e-05	0.00916879634007948
WWC1	3.30062718448982	3.98689263674968	59.6781211541811	3.67915504349258e-05	0.00916879634007948
CDC6	2.78216754069485	4.13189466089917	59.67716695476	3.679379966531e-05	0.00916879634007948
ZHX2	-2.63843617437096	4.68221390741727	59.3731084962486	3.75192328181529e-05	0.00916879634007948
TUBB3	3.52543389066063	7.92472467860513	59.3668924302884	3.75342462182535e-05	0.00916879634007948
ALDH3A2	-2.503713573175	5.66921220386017	59.2897640920593	3.77211480416072e-05	0.00916879634007948
XYLT1	3.76401689233365	7.44716855373563	58.4048435176034	3.99498066337474e-05	0.00950551359012693
HOMER2	2.80875425711953	3.76878289615194	57.6163551874055	4.207371249624e-05	0.00950551359012693
TJP2	3.31718956409028	4.96001897266119	57.5482047857527	4.22637435141049e-05	0.00950551359012693
C11orf41	2.86388328940745	6.79183027049984	57.0377774508455	4.37211601459637e-05	0.00950551359012693
SORBS2	-4.31555189630764	3.35439728998553	56.8191584079543	4.43642873691637e-05	0.00950551359012693
DTL	3.76001305593454	3.66132754569945	56.2485733260185	4.60985498647125e-05	0.00950551359012693
SMAD7	2.30128406288205	6.97443156315926	56.0428455032126	4.67442701018117e-05	0.00950551359012693
PPL	-5.82187446631299	4.97158294855262	55.9106387728146	4.71651145397442e-05	0.00950551359012693
UHRF1	3.96051810925447	3.24151009008855	55.8080501232828	4.7494897552566e-05	0.00950551359012693
MICAL2	3.01618389402001	8.98470076526285	55.7532530888058	4.76722128303952e-05	0.00950551359012693
JAG1	-2.52389089823083	5.76903594543101	55.5684783410649	4.82761596087841e-05	0.00950551359012693
TOMM34	2.2553710417535	6.62758577092732	55.2746272423905	4.92561711903021e-05	0.00950551359012693
HOMER1	2.54392799390489	4.53954380376921	55.1826412187926	4.95679765223874e-05	0.00950551359012693
DUSP5	2.33068957826682	5.25000520710603	55.1820338054794	4.95700435416171e-05	0.00950551359012693
ABHD5	2.24844327144393	6.65704536899858	55.156697706621	4.96563566081302e-05	0.00950551359012693
PPIF	2.35998480113433	7.01888611814545	55.14052112206	4.97115626009009e-05	0.00950551359012693
CXCL12	3.00286166604511	9.00743005543035	54.7698491721634	5.09975286204592e-05	0.00962309944665796
SNAI1	3.13740685244514	5.1978606190959	54.0539001263426	5.359946570502e-05	0.00998272646332068
TMEM159	-2.47151942423094	4.38666133792832	53.3278156071969	5.64073214756192e-05	0.0103709922728443
ESM1	5.62007313279107	4.80924129420816	52.5594546434356	5.95787235783813e-05	0.0107416481220196
SIPA1L3	2.28691265476753	5.91240022168962	52.4794715213758	5.99213339210355e-05	0.0107416481220196
ADAM19	2.68602349854222	3.738798974256	52.0444285220364	6.1827952498407e-05	0.0108751887230716
SEC23B	2.18870603256395	6.92381407951892	51.9652548047058	6.21829353107781e-05	0.0108751887230716
HBEGF	2.89873413825508	3.5032768301837	51.6437816274186	6.3650343342374e-05	0.0109977057093131
HIVEP3	2.47693191841423	4.52039102225302	51.1408091063033	6.60328516410956e-05	0.0110236929257955
CBX7	-2.45104246417469	6.2191635962041	51.1364724767176	6.60538669195741e-05	0.0110236929257955
SSR3	2.30806762924485	8.25213621821396	51.1255573350727	6.6106798104624e-05	0.0110236929257955
GALNTL4	4.15105396332974	2.48231122247122	50.5662939595582	6.88901948579664e-05	0.0111417794329926
EFR3B	4.75128063290828	2.12983911213177	50.4601743128076	6.94345283983246e-05	0.0111417794329926
BZW2	2.18937728301162	6.531482077065	50.3956815236786	6.97679292931088e-05	0.0111417794329926
PITPNC1	2.78163254273153	4.41058473924493	50.3658890391218	6.99226099274343e-05	0.0111417794329926
NEFM	5.63476469680984	3.34413127066279	49.6701655467783	7.36579247233375e-05	0.0114697607162283
PLEK2	4.84080601677913	2.22894367676672	49.5545499192281	7.43022641084862e-05	0.0114697607162283
SLC5A10	2.32173733270073	4.39458306587739	49.540633290569	7.43802905382633e-05	0.0114697607162283
AGPAT5	2.18930395652854	5.11123337346626	49.1601923050867	7.65529539943791e-05	0.0116665097078394
AMOT	-3.24364773125679	3.47754464791403	49.0352997935056	7.72832035593572e-05	0.0116665097078394
GALE	2.43988151560642	4.55701364442652	48.7123396650679	7.92117340332049e-05	0.0118330778934395
KLF10	2.16228614377157	5.99715263646382	48.4793119040746	8.06401530529498e-05	0.0119222725250758
GPR68	2.29823387598217	4.60494473557211	48.0488675045619	8.33631320043624e-05	0.0121990885313731
TOX	-3.2353900271111	4.71525871652441	47.5518687929427	8.66495129050617e-05	0.0122046773481496
PRRT2	-3.02326066639851	3.76444303541362	47.4502498237958	8.73409992637486e-05	0.0122046773481496
CDKN2B	-2.29981943785805	5.49961189127191	47.4035591343904	8.76609942413052e-05	0.0122046773481496
E2F1	2.65624540064229	3.5664838735669	47.3570878413645	8.79809210431315e-05	0.0122046773481496
MAOA	-3.8887579031904	3.10985891394729	47.2071395159672	8.90230816338912e-05	0.0122046773481496
ECHDC2	-2.10500295582047	5.25763120115814	47.1364552615227	8.95196194492276e-05	0.0122046773481496
AP1G2	-2.07707674572176	5.8076002873546	47.1187229933812	8.96447188159155e-05	0.0122046773481496
EME1	2.29858307387044	5.39265934595242	47.0310790973491	9.02662104136165e-05	0.0122046773481496
AMD1	2.17854699386286	6.7129170138689	46.8721492913271	9.14067977608804e-05	0.0122046773481496
IL20RB	-2.49248729065286	6.83301946757018	46.7320507603921	9.24269970042953e-05	0.0122046773481496
BMPR1B	3.40871778409751	3.24020207700166	46.6863670055512	9.2762696530807e-05	0.0122046773481496
PTPRB	3.73817421414898	5.23589504171185	46.185871281193	9.65407365163337e-05	0.0125862791125522
TMTC1	-2.32397735891302	6.93214337339799	45.8602529106957	9.91007474558651e-05	0.0128036380113924
SEC31B	-2.40436286091825	4.20169231340491	45.4659999871795	0.000102313304902818	0.0130725543909174
MCM3	2.02606246531487	5.61546002922959	45.2611134028705	0.000104033481102642	0.0130725543909174
IL21R	5.29146231837481	2.12529055967266	45.1998240726628	0.000104554962086723	0.0130725543909174
SPOCD1	2.42617385120182	5.74336385082143	44.902778325169	0.000107128496865581	0.0130725543909174
CREB3L2	2.14181288180363	5.60263823556423	44.8517030878178	0.000107578831413369	0.0130725543909174
BMP2	4.48067107602101	2.75889019262055	44.8415750596599	0.000107668407995474	0.0130725543909174
KIAA1377	-3.08420071929999	3.38615197166392	44.7441719486855	0.000108534591607244	0.0130725543909174
TCP11L2	-2.50927672374118	4.3372782265618	44.5248395269174	0.000110516713124571	0.0130725543909174
NAV2	2.10058560146613	7.16802982959731	44.5030006326842	0.000110716504988728	0.0130725543909174
KCNE4	-3.78611114265418	5.34333262399148	44.4646479562797	0.000111068450406776	0.0130725543909174
PTHLH	2.65752958186392	4.35175383379288	44.3630819114876	0.000112007157426619	0.0130725543909174
DACT1	2.59369726514157	6.37324191555215	44.3508587455483	0.000112120785864503	0.0130725543909174
B3GALT2	-4.38933597117257	4.36847915650625	44.0068124129925	0.000115378160776744	0.0132454013146321
FBXL7	-2.08751502262251	6.11791573061692	43.9527490232209	0.00011590057052823	0.0132454013146321
KCND3	-2.01597359962215	5.2668855696728	43.8973844597921	0.000116438577216789	0.0132454013146321
RGS20	2.86133765222802	3.47303057575964	43.8096276723266	0.000117297675682189	0.0132454013146321
MCM4	2.29329294840268	5.56725381115265	43.524140704947	0.000120147025911509	0.0133871692466168
PDE5A	-2.31581628211675	5.61188077640002	43.442354749461	0.000120978975700527	0.0133871692466168
RNF150	-2.44209782901278	4.45432770915287	43.4002126073139	0.00012141042836947	0.0133871692466168
KLHL24	-2.4980789770216	4.52513844784912	43.2740409345517	0.000122713562382064	0.0133871692466168
APCDD1	-3.25272549802872	4.24422192706732	43.225395954482	0.000123220580193391	0.0133871692466168
PDCD1LG2	2.41264582288886	6.06333378391907	43.1162429617213	0.000124367688579679	0.0134102031723397
GLIPR1	1.97942092915478	7.89132779524191	42.9398387777026	0.000126249505768748	0.0135115235987285
C4orf49	-2.67916674214728	4.71453366312852	42.8284204998055	0.000127456168452356	0.0135318892623717
NPTX1	4.37638468443084	2.15042188910285	42.6370286112254	0.000129562303559924	0.0135318892623717
AMIGO2	1.98497163809871	6.21776994272735	42.569498562812	0.000130315645361469	0.0135318892623717
MLPH	2.70536994901476	3.81815069830525	42.5663844579496	0.000130350515242739	0.0135318892623717
BCL7A	2.42229285214255	5.36640950114428	42.4945830538133	0.000131157702215304	0.0135318892623717
SRPRB	2.10895659985984	6.81824366089924	42.1166232257364	0.000135509714660717	0.0137871859253112
TFDP2	-1.98244826495009	6.1756983227971	42.1127754262904	0.000135554927513345	0.0137871859253112
SYNJ2	2.00157010686244	7.07813199226026	41.9833908591948	0.00013708611629577	0.0138447323506876
AIM1	-2.22654214939613	4.41020793942066	41.4973200599169	0.000143032336922792	0.0143041627293938
KIFC2	-2.0574822004414	4.61662336329645	41.4422327531291	0.000143726111600478	0.0143041627293938
MKNK2	-1.96765340412813	5.73378201447896	41.3711444785902	0.000144627543111505	0.0143041627293938
PHLDA1	2.09664159134956	5.98041325198303	41.2047457154277	0.000146764944707914	0.0143919808690339
ITPRIP	2.25935560171321	4.13478896261571	41.1464791962649	0.000147522570793388	0.0143919808690339
RP5-1187M17.10.1	-2.23673962063035	4.42593541549049	40.8766334777566	0.000151094808517953	0.01455223601009
SERPINB2	6.37597336906158	10.7216868751675	40.7777600410354	0.000152430335305929	0.01455223601009
ZNF367	4.20611251254562	3.33434669087381	40.6051451031187	0.000154796969594662	0.01455223601009
RAB11FIP1	-2.16268765874557	4.22007147109404	40.5191798628241	0.000155992480545106	0.01455223601009
SHC4	3.75762259608818	3.57071312221567	40.4919302456367	0.00015637381146167	0.01455223601009
CALCOCO1	-1.96307681421316	8.10596630943905	40.4157226649699	0.000157446374415242	0.01455223601009
CCDC136	-2.5487635107907	5.00839323636311	40.3485580004418	0.000158399189656242	0.01455223601009
AMT	-2.88763443801843	3.10565607149841	40.2403793172774	0.000159948826440077	0.01455223601009
PKP4	-2.04806851178591	6.58301532991561	40.2262199595975	0.000160153036237961	0.01455223601009
FAM180A	1.94376496441384	6.98070327992209	40.1997661480003	0.000160535421245219	0.01455223601009
AKNA	-2.00887220138331	4.8994229720945	40.1644794735649	0.000161047236509329	0.01455223601009
PLAUR	3.35816924065299	7.25465033839987	40.0592555523928	0.000162585439443841	0.01455223601009
SLC19A2	2.16452183768778	5.59206748345653	39.9858620117612	0.000163669059967257	0.01455223601009
SDF2L1	2.93624066267325	5.5526085559433	39.9655391126703	0.000163970689929171	0.01455223601009
NFATC4	-2.49623751034863	7.56387656557637	39.9376198557076	0.000164386181830735	0.01455223601009
PSD4	2.62824476836823	4.13186105245635	39.7793897478314	0.000166765616342481	0.0146211276688418
IL33	5.89365839196828	4.79078681354445	39.7078512716788	0.000167855323021101	0.0146211276688418
CDCP1	5.4142870307912	4.79267859307676	39.6838424552323	0.00016822300155909	0.0146211276688418
NPR2	-1.89707877641168	6.19611084626856	39.4771122800798	0.000171430353151098	0.0148101367140957
HMOX1	2.96627471624667	7.71034665260463	39.2070801267783	0.000175734142551346	0.015091037954065
HTR2A	2.47328618853695	5.03290411211117	38.7588952880561	0.000183175351555196	0.0155443966921189
CHSY3	2.15007762637593	4.26742914550074	38.7585459623065	0.000183181301231999	0.0155443966921189
CALB2	5.62393155747553	4.66656662369249	38.5371803767854	0.000186999949908515	0.0157218309695275
HNRNPAB	1.94784540268097	6.47226611465566	38.4016786350069	0.000189385855904853	0.0157218309695275
NINL	-2.65020657177061	3.31710495338448	38.3339840149153	0.000190591868069918	0.0157218309695275
LEPREL1	2.4907742533352	5.41361604407262	38.2816912100188	0.000191529973545052	0.0157218309695275
SCFD2	1.98594507707181	6.29044284067716	38.1336948327254	0.000194215962203973	0.0157218309695275
KCNC4	1.94189891673651	5.79965672694294	38.1059113167516	0.000194725368871623	0.0157218309695275
HSPH1	2.40162721788636	8.1319900748671	38.0769132158754	0.000195258801988499	0.0157218309695275
C5orf4	-2.25193906330246	4.63002234244676	38.0636668729138	0.000195503073548901	0.0157218309695275
SLC1A7	-2.40951101758222	3.89663351437078	38.0528783738588	0.000195702299097387	0.0157218309695275
FADS2	-1.96758596154689	5.23103544096909	38.0240917549999	0.000196235112164105	0.0157218309695275
N4BP2L1	-2.53648346762661	3.32556582458377	37.8974265205015	0.00019860091374211	0.0157524465238939
LGI2	8.24108905876527	1.88463115350868	44.1593664248395	0.000198814086941273	0.0157524465238939
EFNB2	-2.11140213797806	7.76602838964174	37.8173758329566	0.000200114205098481	0.0157663692451229
PKMYT1	2.77123728683854	2.96751395649493	37.760994041018	0.000201188590186005	0.0157663692451229
GLI3	-2.41668136323861	5.08909987581362	37.5700865864096	0.000204879613802045	0.0158919471710617
ARNTL	1.97014661116071	5.76953871662373	37.5238752742235	0.000205785580951568	0.0158919471710617
TACR1	4.69284898701493	1.60455571972567	37.507109841941	0.000206115485239346	0.0158919471710617
INSC	7.82058913218233	1.50581775316034	43.2333842335295	0.000213253324399758	0.0162759165867889
CDC45	3.84755689117172	1.97882016246193	37.1438012924069	0.000213427324559546	0.0162759165867889
DKC1	1.79145869539765	6.69054319859443	37.0557813484808	0.000215246658584667	0.0162759165867889
CRISPLD2	2.44155125345368	7.77181746818633	37.0371032151418	0.000215635182448218	0.0162759165867889
TEF	-2.37745485524877	5.37699721659667	36.9752564198664	0.000216927841415397	0.0162877600719278
STRA6	5.46415196364072	2.30916905669051	36.8132374642384	0.000220359752736194	0.0163840873453667
ARL4C	-1.8932203857478	6.8448328160405	36.806883507285	0.000220495701670439	0.0163840873453667
HN1	2.29813003532498	6.19121554321448	36.1789349169424	0.000234456624469379	0.0173316621212132
NFIL3	2.07084531055613	6.72129345254859	36.0280167010503	0.000237972906834038	0.017415202685217
GPR3	3.57598861137872	2.18903593793229	36.0248261951265	0.000238047942185746	0.017415202685217
ADAMTS9	-3.31011200072329	3.9184981608077	35.9747353784561	0.000239229825604054	0.017415202685217
MCM5	1.95583187231519	4.65792145019579	35.4122791057737	0.00025301054943127	0.0181404997228597
BDNF	2.2345446701	7.17749081278339	35.3095935971882	0.000255631062269671	0.0181404997228597
NPAS1	2.5545826681176	4.51109533276355	35.3001544679903	0.000255873621958687	0.0181404997228597
GMPPB	2.77110370234111	2.8165961087407	35.2943133166659	0.000256023865583258	0.0181404997228597
FOSL1	2.58194181432271	7.10354103697806	35.2867431735552	0.000256218743401273	0.0181404997228597
NOLC1	1.77005401570763	7.27288098356572	35.2328869652204	0.000257610450707028	0.0181404997228597
PLD1	-3.49375610929752	3.1267284310202	35.2160406303402	0.000258047691476423	0.0181404997228597
JUP	-2.43377482922221	4.04139801815424	35.1666068078382	0.000259336019416754	0.0181421358753935
STON1	-2.04025348882241	5.25885552097147	35.0901805404739	0.000261343456085597	0.0181927885574677
SAMD5	-3.51119319056923	4.99823772159962	35.0428125656771	0.000262597254821547	0.0181927885574677
MFSD12	1.95578009417999	4.87750359829756	34.8984172682723	0.000266465317449639	0.018217016258977
SPTBN1	-1.90168131538894	9.39937566833247	34.894329388799	0.000266575842109098	0.018217016258977
LMNB1	2.76339379936564	2.95628450159999	34.8876045220453	0.000266757786373695	0.018217016258977
ADAMTS4	2.63251771499319	2.97650826614984	34.8140950612634	0.000268756632307958	0.0182665349001347
SLC35F2	2.81215013862323	5.58555393281595	34.6907444541904	0.000272152394332325	0.0183255182877046
SPRY4	1.90837008396344	6.15322332421387	34.6349592611678	0.000273705481886631	0.0183255182877046
TRIM14	2.08321329645496	5.0446887943446	34.614259481284	0.000274284551493451	0.0183255182877046
ENPP1	1.75696532053497	5.63683872382895	34.5981653719451	0.000274735822596505	0.0183255182877046
MMP1	2.74325974588533	8.3921974178195	34.4935467805586	0.000277691692506521	0.0184369285288704
FAM46B	-2.97774000312174	2.51955715553961	34.3607719393329	0.000281499741845445	0.0186036304046338
ADAM12	2.33178882358399	9.55248765091449	34.2158604942048	0.000285729609154052	0.0187137115639353
PPFIBP2	-2.93393981743928	4.91167009910196	34.2143113896312	0.000285775248065116	0.0187137115639353
FAM57A	2.77876707591974	3.62947716510615	34.1348487244968	0.000288128434382154	0.0187820448976112
SERPINB8	1.73247582439269	6.7986957445099	33.9376778532645	0.000294071365591806	0.0190827034115479
GPRC5A	-3.55380443761432	2.10988087899168	33.7758679775853	0.000299061684562992	0.0193191153978283
MYRIP	-2.97125871032663	3.98705555354556	33.4806984289763	0.000308436677816722	0.0197889625863013
TUBB6	2.21711330314987	9.618656338449	33.4603959032027	0.000309094736722091	0.0197889625863013
TPM4	2.30139510919974	4.32970997597663	33.219656587445	0.000317031225396415	0.0202068657929333
ADAM33	-2.92156220476104	7.0745880007882	33.1272630132953	0.000320143758557906	0.0203149630153935
FOXP2	-2.69239117661175	3.55376166940625	33.0617775279797	0.000322372646434722	0.0203662824780632
TIPARP	1.93022877920882	7.73143455829878	32.8756904970151	0.000328811599155906	0.0205435834518596
LDLR	-2.11948490722705	6.09269531752444	32.5814232069962	0.000339320685228859	0.0205435834518596
HK2	2.17097809469049	3.61977366587807	32.5704397808612	0.000339720887737166	0.0205435834518596
XDH	3.58981813391765	2.00026779856409	32.569780290549	0.000339744936060514	0.0205435834518596
CHST11	2.75082001543802	3.49991219399684	32.558675139959	0.00034015020085895	0.0205435834518596
TNFAIP3	2.27031386048321	4.92201710525557	32.5447099387806	0.000340660684815419	0.0205435834518596
CSRP1	1.91246473872419	9.68572842462656	32.5040253178068	0.000342153262610828	0.0205435834518596
DGKI	2.47884658655149	4.58092785817515	32.501140074441	0.000342259417985927	0.0205435834518596
C1QBP	2.10273784642305	4.31697062687372	32.4943799852086	0.000342508297734364	0.0205435834518596
PIM1	-2.08647513447393	3.6426388388678	32.4868447027269	0.000342785979993245	0.0205435834518596
CNKSR2	-2.76892171723502	4.03915453196672	32.4765820207869	0.00034316461595738	0.0205435834518596
ROBO2	-3.75555679273388	4.82676997079912	32.4597872945334	0.000343785360847817	0.0205435834518596
TUBB2A	1.78218926699856	4.87343732453285	32.4593460163116	0.000343801689453058	0.0205435834518596
JAM2	-1.72369401927501	6.41592879209646	32.2253616893075	0.000352596114590153	0.0209165216693398
MANF	2.69276465278477	7.199706776945	32.1833495559935	0.000354204401107045	0.0209165216693398
NUPR1	-1.80673442390665	7.68630156395811	32.1587083525009	0.000355151910404182	0.0209165216693398
GRAMD1B	1.82912122378859	5.89975094996397	32.0624294344386	0.000358884133794433	0.0209165216693398
MRAS	1.77936519737701	8.11305016287831	32.0579566662826	0.000359058691566456	0.0209165216693398
WBP2	-1.7301278246027	6.2574106387163	32.0393626552087	0.000359785478884328	0.0209165216693398
EHBP1	-1.90362836486059	8.15911373752349	32.0274393228014	0.000360252482555396	0.0209165216693398
KIF13B	-3.30355204662298	2.19958974622906	31.9822546012494	0.000362029037026236	0.0209349129838438
PLEKHO2	-1.68456647061424	7.0423092370727	31.8969395478999	0.000365412960766043	0.0209881591899347
ARAP3	-2.25726738760595	3.77335947731277	31.8545977414574	0.000367106874533381	0.0209881591899347
POP1	1.83704187165884	4.5685793387476	31.8487805779804	0.000367340349813374	0.0209881591899347
TFPI2	2.18330428214477	5.93954353025835	31.6954159472187	0.000373562284956217	0.021258955272052
C1orf63	-2.02996808460301	5.86222309588888	31.6147170967319	0.000376888362888585	0.0212717129447415
SRGAP2	-1.74831686698494	5.89043231935946	31.5653158639364	0.0003789425005563	0.0212717129447415
SREBF2	-1.68059681198789	7.46947021423504	31.5581127715594	0.000379243161777653	0.0212717129447415
CMAHP	-2.8063986567983	3.07120479899182	31.5467133537087	0.000379719581190561	0.0212717129447415
FCRLA	2.10114840731891	3.82727362052377	31.4458962711096	0.000383965339577064	0.0213783220172858
WDFY2	1.88170328873197	4.14170050067025	31.4284364938612	0.000384706564930141	0.0213783220172858
TM4SF1	3.86990342761761	5.5877877384817	31.365539216776	0.000387391426845649	0.0213783220172858
IL16	-3.2166154318599	2.61107820797444	31.3161148165746	0.00038951739957742	0.0213783220172858
PAICS	1.95469412211844	4.1749885720181	31.3034977750121	0.00039006241969095	0.0213783220172858
SOX9	3.01663940974336	6.03765838790391	31.2605320661948	0.000391925480485547	0.0213783220172858
DIEXF	1.66358284004748	6.15091378312592	31.1748288654873	0.000395674580298051	0.0213783220172858
RAB11FIP2	-2.21944928983369	5.551114279466	31.1546355770688	0.000396564365397706	0.0213783220172858
ARMC4	-3.65425352132324	3.4086993910652	31.1525968265762	0.00039665433670965	0.0213783220172858
TUBB	1.95511608835659	10.9574134971162	31.1391180924439	0.000397249795029908	0.0213783220172858
TBX3	1.70821757921235	6.90083771915662	31.1217094433292	0.00039802049917128	0.0213783220172858
CLSTN3	-2.10732996741501	4.39310918036437	30.9747346695985	0.000404601292062557	0.021541211882871
TGFBR3	-2.56519702437397	6.73825503927174	30.9707757308247	0.000404780401118913	0.021541211882871
ANGPTL2	-2.02418786739591	6.34550487226148	30.9032810474721	0.00040784906532718	0.021541211882871
NOP56	1.7751124731187	6.95555040014054	30.7724317091712	0.000413880283286971	0.021541211882871
FAM20A	-2.08077354950163	4.6073006393301	30.7531825940086	0.000414776781071741	0.021541211882871
L3MBTL1	-2.85243033820056	2.50439752368333	30.7459569188256	0.000415113923559439	0.021541211882871
FABP5	4.90533536917992	1.79814426330768	30.7363802841698	0.000415561280089773	0.021541211882871
NTM	1.67839899451026	5.99679105457908	30.7314901211889	0.000415789945115735	0.021541211882871
TRIM22	-1.68155061385632	7.90534900896622	30.7286231940129	0.000415924075341813	0.021541211882871
PSMD2	1.68465656417797	8.51557663089764	30.7254223193962	0.000416073892445106	0.021541211882871
IDH1	-1.74053377086061	5.54889989091846	30.5636673570861	0.000423732231557493	0.0218587911250576
TSPAN2	2.13677894401272	4.45494992643805	30.4845190243662	0.000427542829052444	0.0219610095096175
PTX3	-2.06251056461287	10.1041303434003	30.4590827232009	0.000428776421636769	0.0219610095096175
NOG	2.1701038189505	3.38157779854367	30.3070636336624	0.000436241118588997	0.0221868587307769
DOCK4	-3.08629263372309	2.17235635473767	30.2930905145368	0.000436935260146269	0.0221868587307769
PICALM	1.76946577833114	9.26610790641464	30.2751742188388	0.000437827279883541	0.0221868587307769
FARSB	1.73771651278247	6.1017560649625	30.2216010678052	0.000440508015123198	0.0222441036791612
ABCA6	-2.95844484309111	3.53822688434828	30.1896828350058	0.000442114785336579	0.0222469057421469
WNT5B	1.75474248120261	8.55029475308778	30.1169461668906	0.000445803440143983	0.0223540808919751
